,prompt,orig_completion,completion
4799,What's the breakdown of Engagement rate by Initial Cost in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_cost"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:initial_cost}"
4800,Engagement rate by Device Carrier,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_carrier"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:device_carrier}"
4801,What's the breakdown of Engagement rate by Device Carrier in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_carrier"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:device_carrier}"
4802,What's the breakdown of Engagement rate by Device Carrier in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_carrier"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:device_carrier}"
4803,What's the breakdown of Engagement rate by Device Carrier in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_carrier"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:device_carrier}"
4804,Engagement rate by First Name,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$first_name"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:first_name}"
4805,What's the breakdown of Engagement rate by First Name in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$first_name"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:first_name}"
4806,What's the breakdown of Engagement rate by First Name in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$first_name"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:first_name}"
4807,What's the breakdown of Engagement rate by First Name in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$first_name"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:first_name}"
4808,Engagement rate by 6signal Region,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_region"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:6Signal_region}"
4809,What's the breakdown of Engagement rate by 6signal Region in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_region"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:6Signal_region}"
4810,What's the breakdown of Engagement rate by 6signal Region in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_region"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:6Signal_region}"
4811,What's the breakdown of Engagement rate by 6signal Region in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_region"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:6Signal_region}"
4812,Engagement rate by Latest Campaign,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_campaign"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:latest_campaign}"
4813,What's the breakdown of Engagement rate by Latest Campaign in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_campaign"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:latest_campaign}"
4814,What's the breakdown of Engagement rate by Latest Campaign in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_campaign"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:latest_campaign}"
4815,What's the breakdown of Engagement rate by Latest Campaign in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_campaign"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:latest_campaign}"
4816,Engagement rate by 6signal Naics,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_naics"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:6Signal_naics}"
4817,What's the breakdown of Engagement rate by 6signal Naics in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_naics"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:6Signal_naics}"
4818,What's the breakdown of Engagement rate by 6signal Naics in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_naics"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:6Signal_naics}"
4819,What's the breakdown of Engagement rate by 6signal Naics in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_naics"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:6Signal_naics}"
4820,Engagement rate by 6signal State,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_state"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:6Signal_state}"
4821,What's the breakdown of Engagement rate by 6signal State in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_state"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:6Signal_state}"
4822,What's the breakdown of Engagement rate by 6signal State in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_state"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:6Signal_state}"
4823,What's the breakdown of Engagement rate by 6signal State in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_state"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:6Signal_state}"
4824,Engagement rate by Latest Page Domain,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_page_domain"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:latest_page_domain}"
4825,What's the breakdown of Engagement rate by Latest Page Domain in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_page_domain"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:latest_page_domain}"
4826,What's the breakdown of Engagement rate by Latest Page Domain in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_page_domain"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:latest_page_domain}"
4827,What's the breakdown of Engagement rate by Latest Page Domain in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_page_domain"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:latest_page_domain}"
4828,Engagement rate by 6signal Country Iso Code,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_country_iso_code"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:6Signal_country_iso_code}"
4829,What's the breakdown of Engagement rate by 6signal Country Iso Code in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_country_iso_code"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:6Signal_country_iso_code}"
4830,What's the breakdown of Engagement rate by 6signal Country Iso Code in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_country_iso_code"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:6Signal_country_iso_code}"
4831,What's the breakdown of Engagement rate by 6signal Country Iso Code in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_country_iso_code"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:6Signal_country_iso_code}"
4832,Engagement rate by 6signal Phone,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_phone"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:6Signal_phone}"
4833,What's the breakdown of Engagement rate by 6signal Phone in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_phone"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:6Signal_phone}"
4834,What's the breakdown of Engagement rate by 6signal Phone in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_phone"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:6Signal_phone}"
4835,What's the breakdown of Engagement rate by 6signal Phone in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_phone"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:6Signal_phone}"
4836,Engagement rate by 6signal Domain,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_domain"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:6Signal_domain}"
4837,What's the breakdown of Engagement rate by 6signal Domain in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_domain"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:6Signal_domain}"
4838,What's the breakdown of Engagement rate by 6signal Domain in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_domain"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:6Signal_domain}"
4839,What's the breakdown of Engagement rate by 6signal Domain in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_domain"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:6Signal_domain}"
4840,Engagement rate by Initial Channel,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_channel"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:initial_channel}"
4841,What's the breakdown of Engagement rate by Initial Channel in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_channel"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:initial_channel}"
4842,What's the breakdown of Engagement rate by Initial Channel in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_channel"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:initial_channel}"
4843,What's the breakdown of Engagement rate by Initial Channel in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_channel"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:initial_channel}"
4844,Engagement rate by Initial Creative,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_creative"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:initial_creative}"
4845,What's the breakdown of Engagement rate by Initial Creative in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_creative"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:initial_creative}"
4846,What's the breakdown of Engagement rate by Initial Creative in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_creative"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:initial_creative}"
4847,What's the breakdown of Engagement rate by Initial Creative in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_creative"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:initial_creative}"
4848,Engagement rate by Latest Keyword,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_keyword"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:latest_keyword}"
4849,What's the breakdown of Engagement rate by Latest Keyword in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_keyword"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:latest_keyword}"
4850,What's the breakdown of Engagement rate by Latest Keyword in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_keyword"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:latest_keyword}"
4851,What's the breakdown of Engagement rate by Latest Keyword in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_keyword"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:latest_keyword}"
4852,Engagement rate by Device Name,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_name"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:device_name}"
4853,What's the breakdown of Engagement rate by Device Name in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_name"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:device_name}"
4854,What's the breakdown of Engagement rate by Device Name in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_name"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:device_name}"
4855,What's the breakdown of Engagement rate by Device Name in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_name"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:device_name}"
4856,Engagement rate by Initial Referrer,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_referrer"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:initial_referrer}"
4857,What's the breakdown of Engagement rate by Initial Referrer in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_referrer"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:initial_referrer}"
4858,What's the breakdown of Engagement rate by Initial Referrer in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_referrer"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:initial_referrer}"
4859,What's the breakdown of Engagement rate by Initial Referrer in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_referrer"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:initial_referrer}"
4860,Engagement rate by Language,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$language"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:language}"
4861,What's the breakdown of Engagement rate by Language in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$language"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:language}"
4862,What's the breakdown of Engagement rate by Language in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$language"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:language}"
4863,What's the breakdown of Engagement rate by Language in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$language"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:language}"
4864,Engagement rate by Initial Adgroup ID,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_adgroup_id"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:initial_adgroup_id}"
4865,What's the breakdown of Engagement rate by Initial Adgroup ID in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_adgroup_id"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:initial_adgroup_id}"
4866,What's the breakdown of Engagement rate by Initial Adgroup ID in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_adgroup_id"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:initial_adgroup_id}"
4867,What's the breakdown of Engagement rate by Initial Adgroup ID in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_adgroup_id"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:initial_adgroup_id}"
4868,Engagement rate by Locale,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$locale"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:locale}"
4869,What's the breakdown of Engagement rate by Locale in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$locale"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:locale}"
4870,What's the breakdown of Engagement rate by Locale in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$locale"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:locale}"
4871,What's the breakdown of Engagement rate by Locale in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$locale"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:locale}"
4872,Engagement rate by Latest GCLID,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_gclid"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:latest_gclid}"
4873,What's the breakdown of Engagement rate by Latest GCLID in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_gclid"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:latest_gclid}"
4874,What's the breakdown of Engagement rate by Latest GCLID in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_gclid"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:latest_gclid}"
4875,What's the breakdown of Engagement rate by Latest GCLID in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_gclid"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:latest_gclid}"
4876,Engagement rate by Initial Keyword,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_keyword"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:initial_keyword}"
